disc,year,key,words,B1_weak_n,B1_weak_per10k,B2_mid_n,B2_mid_per10k,B3_strong_n,B3_strong_per10k,ep_hedge_n,ep_hedge_per10k
soc,,soc_JA77AWY2,8046,3,3.73,6,7.46,22,27.34,86,106.89
soc,,soc_KA62JLC2,6725,0,0.0,8,11.9,16,23.79,21,31.23
soc,,soc_ZQ56HHQZ,8239,11,13.35,7,8.5,51,61.9,38,46.12
soc,,soc_58CDX538,10363,5,4.82,9,8.68,11,10.61,26,25.09
soc,,soc_XR7KH9D4,5677,2,3.52,3,5.28,14,24.66,27,47.56
soc,,soc_94HKMYKJ,8890,1,1.12,15,16.87,28,31.5,46,51.74
soc,,soc_HVL9EWV8,10417,11,10.56,14,13.44,31,29.76,42,40.32
soc,,soc_M5JW962P,20251,5,2.47,8,3.95,21,10.37,105,51.85
soc,,soc_6NPEY7EA,6676,5,7.49,12,17.97,14,20.97,29,43.44
soc,,soc_42EENS2T,22524,9,4.0,19,8.44,54,23.97,158,70.15
soc,,soc_JNL76UUG,15317,13,8.49,17,11.1,20,13.06,64,41.78
